"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Q1";"TO-92_Inline";1;"BC337";;;
2;"R2,R1,R3,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"R";;;
3;"D2";"LED_D3.0mm";1;"LED";;;
4;"D1";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4007";;;
5;"U1";"DIP-4_W7.62mm";1;"PC817";;;
6;"J1";"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal";1;"Conn_01x02_Pin";;;
7;"K1";"Relay_SPDT_Omron-G5LE-1";1;"Relay_SPDT";;;
8;"J2";"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal";1;"Conn_01x03_Pin";;;
