"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D8,D6,D7,D5";"LED_D3.0mm";4;"LED";;;
2;"D4,D3,D2,D1";"D_DO-41_SOD81_P10.16mm_Horizontal";4;"1N4007";;;
3;"R2,R1,R4,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"R";;;
4;"K4,K1,K3,K2";"Relay_SPDT_Omron-G5LE-1";4;"Relay_SPDT";;;
5;"J1";"TerminalBlock_Phoenix_MKDS-1,5-12-5.08_1x12_P5.08mm_Horizontal";1;"Conn_01x12_Pin";;;
6;"J4";"TerminalBlock_Phoenix_MKDS-1,5-5-5.08_1x05_P5.08mm_Horizontal";1;"Conn_01x05_Pin";;;
